Threshold,Precision,Recall
0.0011968612670898438,0.09102407842874527,1.0
0.001201629638671875,0.0910247415304184,1.0
0.0012063980102539062,0.09102540463209152,1.0
0.0012111663818359375,0.09102607518434525,1.0
0.0012159347534179688,0.09102673828601837,1.0
0.0012302398681640625,0.09102807193994522,1.0
0.0012350082397460938,0.09102873504161835,1.0
0.0012445449829101562,0.09102939814329147,1.0
0.0012493133544921875,0.0910300686955452,1.0
0.001255035400390625,0.09103206545114517,1.0
0.0012598037719726562,0.09102807939052582,0.9999196529388428
0.0012645721435546875,0.09102874249219894,0.9999196529388428
0.0012693405151367188,0.0910300761461258,0.9999196529388428
0.0012788772583007812,0.09103073924779892,0.9999196529388428
0.0012845993041992188,0.09103207290172577,0.9999196529388428
0.00128936767578125,0.0910327360033989,0.9999196529388428
