Threshold,FPR,TPR
0.9462890625,0.008072937838733196,0.11405622214078903
0.94580078125,0.008169330656528473,0.11493975669145584
0.9453125,0.008297855034470558,0.11574297398328781
0.94482421875,0.008434412069618702,0.11654618382453918
0.9443359375,0.008498674258589745,0.11710843443870544
0.94384765625,0.008603100664913654,0.11807228624820709
0.943359375,0.008763755671679974,0.11887550354003906
0.94287109375,0.00883605144917965,0.11943775415420532
0.9423828125,0.008972608484327793,0.12016063928604126
0.94189453125,0.009109165519475937,0.12064257264137268
0.94140625,0.009189493022859097,0.12136546522378922
0.94091796875,0.009318017400801182,0.12192770838737488
0.9404296875,0.009382279589772224,0.12248995900154114
0.93994140625,0.009454574435949326,0.1230522096157074
0.939453125,0.009639328345656395,0.1239357441663742
0.93896484375,0.009799984283745289,0.12449799478054047
